2003 CPI forecasts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Consumer Price Index item,2003-01-01 00:00:00,2003-02-01 00:00:00,2003-03-01 00:00:00,2003-04-01 00:00:00,2003-05-01 00:00:00,2003-06-01 00:00:00,2003-07-01 00:00:00,2003-08-01 00:00:00,2003-09-01 00:00:00,2003-10-01 00:00:00,2003-11-01 00:00:00,2003-12-01 00:00:00
All food,1.0 to 2.0 ,1.0 to 2.0 ,1.0 to 2.0 ,1.0 to 2.0 ,1.0 to 2.0 ,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5
    Food away from home,2.0 to 2.5,2.0 to 2.5,2.0 to 2.5,2.0 to 2.5,2.0 to 2.5,2.0 to 2.5,2.0 to 2.5,2.0 to 2.5,2.0 to 2.5,2.0 to 2.5,2.0 to 2.5,2.0 to 2.5
    Food at home,0.5 to 1.0,0.5 to 1.0,0.5 to 1.0,0.5 to 1.0,1.0 to 2.0,1.0 to 2.0,1.5 to 2.0,1.5 to 2.0,1.5 to 2.0,1.5 to 2.0,1.5 to 2.5,1.5 to 2.5
"        Meats, poultry, and fish",1.5 to 2.0,1.5 to 2.0,1.5 to 2.0,1.5 to 2.0,1.5 to 2.0,1.5 to 2.0,2.0 to 2.5,2.0 to 2.5,2.5 to 3.0,2.5 to 3.5,2.5 to 3.5,3.0 to 4.0
            Meats,1.5 to 2.5,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.5 to 2.5,1.5 to 2.5,2.0 to 2.5,2.0 to 2.5,3.0 to 4.0,3.5 to 4.5,4.0 to 5.0,4.5 to 5.5
                Beef and veal,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,2.5 to 3.5,2.5 to 3.5,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,4.0 to 5.0,5.5 to 6.5,6.5 to 7.5,7.0 to 8.0
                Pork,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,1.0 to 2.0
                Other meats,-2.0 to -1.0,-2.0 to -1.0,-2.0 to -1.0,0 to 1.0,0.5 to 1.5,0.5 to 1.5,1.0 to 1.5,1.0 to 1.5,1.0 to 1.5,1.0 to 1.5,1.0 to 2.0,1.5 to 2.5
             Poultry,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.5 to 1.5
             Fish and seafood,1.0 to 2.0,1.0 to 2.0,2.5 to 3.5,2.5 to 3.5,0.0 to 1.0,0.0 to 1.0,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5
        Eggs,-1.0 to 0.0,-1.0 to 0.0,-1.0 to 0.0,1.0 to 2.0,1.0 to 2.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,4.0 to 5.0,6.0 to 7.0,9.0 to 10.0,10.0 to 11.0
        Dairy products,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,-1.0 to 0.0,-1.0 to 0.0,-1.0 to 0.0,-1.0 to 0.0,-1.0 to 0.0,1.0 to 2.0,1.0 to 2.0
        Fats and oils,0.5 to 1.5,0.5 to 1.5,2.5 to 3.5,2.5 to 3.5,1.5 to 2.5,1.5 to 2.5,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0
        Fruits and vegetables,3.5 to 4.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,-1.0 to 0.0,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5
            Fresh fruits & vegetables,5.0 to 6.0,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,-1.0 to 0.0,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5
              Fresh fruits,4.0 to 5.0,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,3.0 to 4.0,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5
              Fresh vegetables,6.0 to 7.0,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,-4.0 to -3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.5 to 3.5,2.5 to 3.5
            Processed fruits & vegetables,2.5 to 3.5,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,1.0 to 2.0,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0
        Sugar and sweets,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,2.5 to 3.5,1.0 to 2.0,2.0 to 3.0,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5
        Cereals and bakery products,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,2.5 to 3.5,2.5 to 3.5,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0
        Nonalcoholic beverages,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5
        Other foods,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.0 to 2.0,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.0 to 2.0,1.0 to 2.0
About this table: ,,,,,,,,,,,,
      1. Each column represents the month/year that the forecast was made. ,,,,,,,,,,,,
      2. Each cell represents the percent change range for each forecast. ,,,,,,,,,,,,
"Source: USDA, Economic Research Service.",,,,,,,,,,,,
"For questions, contact:",,,,,,,,,,,,
"Matthew MacLachlan, matthew.maclachlan@usda.gov or Megan Sweitzer, megan.sweitzer@usda.gov
",,,,,,,,,,,,
