2007 CPI forecasts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Consumer Price Index item,2006-08-01 00:00:00,2006-09-01 00:00:00,2006-10-01 00:00:00,2006-11-01 00:00:00,2006-12-01 00:00:00,2007-01-01 00:00:00,2007-02-01 00:00:00,2007-03-01 00:00:00,2007-04-01 00:00:00,2007-05-01 00:00:00,2007-06-01 00:00:00,2007-07-01 00:00:00,2007-08-01 00:00:00,2007-09-01 00:00:00,2007-10-01 00:00:00,2007-11-01 00:00:00
All food,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.0 to 3.0,2.0 to 3.0,2.5 to 3.5,2.5 to 3.5,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5
    Food away from home,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0
    Food at home,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,1.5 to 2.5,1.5 to 2.5,2.0 to 3.0,2.5 to 3.5,3.0 to 4.0,3.0 to 4.0,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5
"        Meats, poultry, and fish",0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,1.0 to 2.0,1.5 to 2.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,3.0 to 4.0,3.0 to 4.0
            Meats,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,1.0 to 2.0,1.5 to 2.5,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.5 to 3.5,2.5 to 3.5
                Beef and veal,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,1.0 to 2.0,1.5 to 2.5,2.5 to 3.5,2.5 to 3.5,3.0 to 4.0,3.0 to 4.0,3.5 to 4.5,3.5 to 4.5
                Pork,0.5 to 1.5,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,-2.0 to -1.0,-2.0 to -1.0,-2.0 to -1.0,0.0 to 1.0,0.0 to 1.0,0.5 to 1.5,1.0 to 2.0,1.0 to 2.0,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5
                Other meats,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,-1.5 to -0.5,0.0 to 1.0,0.0 to 1.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0
             Poultry,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.5 to 2.5,1.5 to 2.5,2.0 to 3.0,2.5 to 3.5,3.0 to 4.0,4.0 to 5.0,4.0 to 5.0,4.5 to 5.5
             Fish and seafood,3.5 to 4.5,4.5 to 5.5,4.5 to 5.5,4.5 to 5.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,4.0 to 5.0,5.0 to 6.0,5.0 to 6.0,5.0 to 6.0,4.0 to 5.0,4.0 to 5.0,4.0 to 5.0
        Eggs,3.0 to 4.0,4.0 to 5.0,4.0 to 5.0,4.0 to 5.0,5.5 to 6.5,7.0 to 8.0,11.0 to 12.0,13.0 to 14.0,16.0 to 17.0,16.0 to 17.0,20.0 to 21.0,20.0 to 21.0,20.0 to 21.0,20.0 to 21.0,26.0 to 27.0,26.0 to 27.0
        Dairy products,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.5 to 1.5,1.5 to 2.5,3.5 to 4.5,4.5 to 5.5,6.0 to 7.0,7.5 to 8.5,7.5 to 8.5,7.5 to 8.5
        Fats and oils,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5
        Fruits and vegetables,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.5 to 4.5,4.5 to 5.5,5.0 to 6.0,5.5 to 6.5,5.0 to 6.0,3.5 to 4.5,3.5 to 4.5,3.0 to 4.0,3.0 to 4.0
            Fresh fruits & vegetables,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,4.0 to 5.0,5.0 to 6.0,5.0 to 6.0,5.5 to 6.5,5.0 to 6.0,3.5 to 4.5,3.0 to 4.0,2.0 to 3.0,2.0 to 3.0
              Fresh fruits,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,4.5 to 5.5,5.0 to 6.0,5.0 to 6.0,6.0 to 7.0,5.5 to 6.5,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0
              Fresh vegetables,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.5 to 4.5,4.5 to 5.5,5.0 to 6.0,5.0 to 6.0,5.0 to 6.0,4.0 to 5.0,2.5 to 3.5,1.5 to 2.5,1.5 to 2.5
            Processed fruits & vegetables,2.5 to 3.5,2.5 to 3.5,1.5 to 2.5,1.5 to 2.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,3.0 to 4.0,3.0 to 4.0
        Sugar and sweets,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0
