2023 CPI forecasts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Consumer Price Index item,,Jan-23,,,Feb-23,,,Mar-23,,,Apr-23,,,May-23,,,Jun-23,,,Jul-23,,,Aug-23,
,Lower,Mid,Upper,Lower,Mid,Upper,Lower,Mid,Upper,Lower,Mid,Upper,Lower,Mid,Upper,Lower,Mid,Upper,Lower,Mid,Upper,Lower,Mid,Upper
All food,4.2,7.1,10.1,5.5,7.9,10.3,5.5,7.5,9.6,4.9,6.5,8.2,4.9,6.2,7.5,5,6,7.1,5,5.8,6.6,5.3,5.9,6.5
Food away from home,6.7,8.2,9.7,7.1,8.3,9.6,7.2,8.3,9.3,7.3,8.2,9,7,7.7,8.4,7.1,7.7,8.3,7,7.5,7.9,6.8,7.1,7.5
Food at home,4.5,8,11.7,5.6,8.6,11.8,5.3,7.8,10.5,4.4,6.6,8.8,4.5,6.3,8.1,4.5,5.9,7.4,3.7,4.9,6.1,4.4,5.2,6.1
"Meats, poultry, and fish",-3.6,1.8,7.7,-2.9,1.8,7,-2,2.1,6.4,-2.1,1.3,4.9,-1.1,1.8,4.9,-0.8,1.6,4.1,-0.2,1.7,3.7,0.7,2.1,3.6
Meats,-4.1,1.8,8.1,-3.8,1.3,6.9,-3.2,1.3,6,-2.5,1.4,5.5,-2,1.3,4.7,-1.2,1.4,4.3,-0.9,1.3,3.6,0.6,2.3,4
Beef and veal,-10.4,-1.8,8,-8.8,-1.2,7.3,-7.5,-1,6.2,-6.2,-0.5,5.8,-4.1,0.7,5.9,-2.5,1.6,6,-0.5,2.7,6.3,1.6,4.2,7
Pork,-10.3,-3,5.1,-8.2,-1.6,5.5,-6.6,-0.8,5.6,-6.8,-2,3.3,-6.6,-2.5,1.8,-5.6,-2.1,1.3,-5.5,-2.9,-0.2,-4,-2,0.2
Other meats,7.1,12.8,18.7,0.4,4.7,8.8,0.8,4.5,8.2,2.8,5.9,9.2,3,5.6,8.3,2.5,4.6,6.8,2.7,4.4,6.1,3.5,4.8,6.2
Poultry,-0.3,3.8,8,-0.2,3.4,7.2,0.2,3.4,6.6,0.2,2.8,5.6,0.8,3.1,5.4,1.1,3,4.9,1.8,3.3,4.9,1.8,3,4.2
Fish and seafood,-1.7,2.2,6.3,-1.1,2.3,6,-0.3,2.7,5.9,-1,1.6,4.2,-0.6,1.6,3.9,-1,0.9,2.7,-0.3,1.1,2.7,-0.4,0.7,1.9
Eggs,6.9,27.3,52,18.3,37.8,62.3,13.4,29.6,48.9,5.1,17.8,32.9,6,16.6,29.3,-1.7,6.2,15.6,-3.9,2,9.1,-3.6,1,6.4
Dairy products,1.1,8,15.5,1.5,7.2,13.4,1.7,6.4,11.4,1.1,4.9,8.9,2.1,4.5,7,2,3.9,5.8,2.2,3.6,5.1,3,4.1,5.2
Fats and oils,9.5,16.5,24,10.9,16.7,23.3,10.4,15.4,20.8,8.7,12.8,17.1,7.9,11.2,14.7,8.3,11,13.8,7.5,9.6,11.8,8,9.6,11.3
Fruits and vegetables,-2.6,2,7.1,-1.2,2.9,7.3,-0.9,2.7,6.4,-1.2,1.8,5,-0.9,1.6,4.3,0.3,2.5,4.9,0.6,2.4,4.2,1.2,2.6,4
Fresh fruits and vegetables,-4.6,1,7,-3,2,7.3,-3.3,1,5.5,-4.3,-0.5,3.3,-3,0.1,3.4,-1.8,0.9,3.6,-1.5,0.6,2.8,-0.9,0.8,2.5
Fresh fruits,-7.5,-1.7,4.5,-5.6,0.1,6.4,-3.9,0.6,5.6,-4.3,-0.5,3.7,-3,0.3,3.8,-1.9,0.9,3.9,-1.9,0.4,2.7,-1.4,0.4,2.3
Fresh vegetables,-3.3,5.1,14.6,-4.2,3,11.2,-5.1,1.3,8,-4,0.4,4.8,-2.9,0.7,4.6,-1.9,1.2,4.4,-1.5,1.1,3.8,-0.9,1.1,3.3
Processed fruits and vegetables,4.1,9.6,15.3,5.1,9.9,15,7.2,11.4,15.9,6.4,9.9,13.7,5.5,8.4,11.4,6.9,9.3,11.9,7.2,9.2,11.1,7.7,9.2,10.7
Sugar and sweets,6.6,10.6,14.7,8,11.5,15.2,8.1,11.1,14.2,7.6,10.1,12.6,7.3,9.4,11.5,7.2,8.9,10.6,8.2,9.6,11,8.3,9.3,10.4
Cereals and bakery products,7.8,12,16.5,9.2,12.8,16.6,8.7,11.7,14.7,9.2,11.7,14.3,7.8,9.9,12.1,7.4,9.1,10.8,7.7,8.9,10.2,8.1,9,9.9
Nonalcoholic beverages,4.6,8.7,12.9,6.3,9.9,13.8,7.5,10.7,14.1,7.2,9.9,12.7,6.7,8.9,11.1,6.9,8.6,10.4,6.6,8,9.4,6.6,7.6,8.7
Other foods,2.5,6.8,11.1,4.6,8.1,11.8,5.6,8.5,11.5,6.7,9.2,11.8,6.8,8.8,10.9,6.2,7.9,9.6,5.9,7.2,8.5,6.4,7.4,8.4
About this table: ,,,,,,,,,,,,,,,,,,,,,,,,
"1. Forecasts are grouped in three columns by the lower-bound, midpoint, and upper-bound of the prediction interval.",,,,,,,,,,,,,,,,,,,,,,,,
2. Each cell represents the percent change range for each point in the forecast. NA: not available. ,,,,,,,,,,,,,,,,,,,,,,,,
"Source: USDA, Economic Research Service.",,,,,,,,,,,,,,,,,,,,,,,,
"For questions, contact:",,,,,,,,,,,,,,,,,,,,,,,,
"Matthew MacLachlan, matthew.maclachlan@usda.gov or Megan Sweitzer, megan.sweitzer@usda.gov",,,,,,,,,,,,,,,,,,,,,,,,
