2024 CPI forecasts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Consumer Price Index item,,Jul-23,,,Aug-23,
,Lower,Mid,Upper,Lower,Mid,Upper
All food,-2.8,2.4,7.9,-2,2.8,7.9
Food away from home,3.7,6.1,8.6,2.7,5.1,7.5
Food at home,-6.8,0.9,9.3,-5.1,2.1,9.9
"Meats, poultry, and fish",-3.7,3.3,11,-3,3.9,11.3
Meats,-4,3.6,11.6,-2.6,4.8,12.7
Beef and veal,-5.6,5.8,18.7,-4,7.4,20.2
Pork,-10.5,-0.9,10.2,-9.2,0.3,11.1
Other meats,-3.7,2,8.2,-2.9,2.6,8.5
Poultry,-1.6,3.2,8.3,-1.9,2.8,7.9
Fish and seafood,-2.3,2.5,7.4,-2.5,2.1,7
Eggs,-29.9,-11.4,13.1,-30.7,-12.7,10.9
Dairy products,-8.5,-1.5,5.9,-7.2,-0.4,6.7
Fats and oils,-3.8,6.1,17.3,-3.3,6.1,16.5
Fruits and vegetables,-5.5,0.2,6.3,-5,0.4,6.4
Fresh fruits and vegetables,-6.9,0,7.3,-6.6,0.2,7.7
Fresh fruits,-6.9,0,7.4,-6.7,0,7.5
Fresh vegetables,-7.2,0,7.5,-7.2,0,7.6
Processed fruits and vegetables,-0.2,7.1,14.8,0.2,7.1,14.5
Sugar and sweets,2.7,8.5,14.5,2.7,8,13.8
Cereals and bakery products,-4.5,3.4,12.5,-3.8,3.6,11.8
Nonalcoholic beverages,0.4,6,11.9,0.1,5.3,10.9
Other foods,0.1,5.8,12.1,0.8,6.2,12.2
About this table: ,,,,,,
"1. Forecasts are grouped in three columns by the lower-bound, midpoint, and upper-bound of the prediction interval.",,,,,,
2. Each cell represents the percent change range for each point in the forecast. NA: not available. ,,,,,,
"Source: USDA, Economic Research Service.",,,,,,
"For questions, contact:",,,,,,
"Matthew MacLachlan, matthew.maclachlan@usda.gov or Megan Sweitzer, megan.sweitzer@usda.gov",,,,,,
