Country,Abreviation,Capital_City,Continent
Australia,AUS,Canberra,Australia
Fiji,FJI,Suva,Australia
Kiribati,KIR,South Tarawa,Australia
Marshall Islands,MHL,Majuro,Australia
Micronesia,FSM,Palikir,Australia
Nauru,NRU,Yaren District,Australia
New Zealand,NZL,Wellington,Australia
Palau,PLW,Ngerulmud,Australia
Papua New Guinea,PNG,Port Moresby,Australia
Samoa,WSM,Apia,Australia
Solomon Islands,SLB,Honiara,Australia
Tonga,TON,Nuku'alofa,Australia
Tuvalu,TUV,Funafuti,Australia
Vanuatu,VUT,Port Vila,Australia
