Country,Abreviation,Capital_City,Continent
Antigua and Barbuda,ATG,St. John's,N. America
Bahamas,BHS,Nassau,N. America
Barbados,BRB,Bridgetown,N. America
Belize,BLZ,Belmopan,N. America
Canada,CAN,Ottawa,N. America
Costa Rica,CRI,San José,N. America
Cuba,CUB,Havana,N. America
Dominica,DMA,Roseau,N. America
Dominican Republic,DOM,Santo Domingo,N. America
El Salvador,SLV,San Salvador,N. America
Grenada,GRD,St. George's,N. America
Guatemala,GTM,Guatemala City,N. America
Haiti,HTI,Port-au-Prince,N. America
Honduras,HND,Tegucigalpa,N. America
Jamaica,JAM,Kingston,N. America
Mexico,MEX,Mexico City,N. America
Nicaragua,NIC,Managua,N. America
Panama,PAN,Panama City,N. America
Saint Kitts & Nevis,KNA,Basseterre,N. America
Saint Lucia,LCA,Castries,N. America
St. Vincent & Grenadines,VCT,Kingstown,N. America
Trinidad and Tobago,TTO,Port of Spain,N. America
United States,USA,Washington DC,N. America
