Source,Authors,Year,Title,Journal/Book,Link
Bishop et al. (2017),"Bishop, I.W., Esposito, R.M., Tyree, M. and Spaulding, S.A.",2017,A diatom voucher flora from selected southeast rivers (USA),Phytotaxa 332 (2): 101–140. ,http://dx.doi.org/10.11646/phytotaxa.332.2.1
Camburn and Charles (2000),"Camburn, K.E. and Charles, D.F.  ",2000,Diatoms of Low-Alkalinity Lakes in the Northeastern United States,"Academy of Natural Sciences of Philadelphia, Special Publication 18",https://www.dianepublishing.net/Diatoms_of_Low_Alkalinity_Lakes_in_the_Northeaster_p/0910006547.htm
Camburn and Kingston (1986) ,"Camburn, K.E. and Kingston, J.C. ",1986,"The genus Melosira from soft-water lakes with special reference to northern Michigan, Wisconsin and Minnesota.","Diatoms and Lake Acidity, J.P. Smol, R.W. Battarbee, R.B. Davis & J. Meriläinen (eds), Dr W. Junk Publishers, Dordrecht. pp. 17-34. ",https://www.springer.com/gp/book/9789061935360
Camburn et al. (1984-1986),"Camburn, K.E., Kingston, J.C. and Charles, D.F. (Editors)",1984 – 1986, PIRLA diatom iconograph,"Report No. 3. PIRLA Unpublished Report Series, 53 photographic plates, 1059 figures. Dept. of Biology, Indiana University, Bloomington, IN",
Cvetkoska et al. (2014),"Cvetkoska, A., Levkov, Z., Hamilton, P.B. and Potapova, M. ",2014,The biogeographic distribution of Cavinula (Bacillariophyceae) in North America with the descriptions of two new species ,Phytotaxa 184(4): 181–207 ,https://doi.org/10.11646/phytotaxa.184.4.1 
Denys et al. (2003),"Denys, L., Muylaert, K., Krammer, K., Joosten, T., Reid, M. and Rioual, P. ",2003,Aulacoseira subborealis stat. nov. (Bacillariophyceae): a common but neglected plankton diatom,Nova Hedwigia 77(3-4): 407-427,http://dx.doi.org/10.1127/0029-5035/2003/0077-0407
Hamilton and Jahn (2005),"Hamilton, P. B. and Jahn, R. ",2005,Typification of Navicula affinis Ehrenberg: type for the name of the genus Neidium Pfitzer ,Diatom Research 20: 281-294 ,http://dx.doi.org/10.1080/0269249X.2005.9705637
Heudre et al. (2018),"Heudre, D., Wetzel, C.E., Moreau, L. and Ector, L.",2018," Sellaphora davoutiana sp. nov.: a new freshwater diatom species (Sellaphoraceae, Bacillariophyta) in lakes of Northeastern France",Phytotaxa 346 (3): 269–279.,https://doi.org/10.11646/phytotaxa.346.3.6. 
Kihara et al. (2009),"Kihara, Y., Sahashi, Y., Arita, S. and Ohtsuka, T.",2009,"Diatoms of Yamakado Moor in Shiga Prefecture, Japan",Diatom 25: 91-105,https://doi.org/10.11464/diatom.25.91
Kociolek and Stoermer (1990),"Kociolek, J.P. and Stoermer, E.F.",1990,"Diatoms from the Upper Miocene Hot Springs Limestone, Snake River Plain, Idaho (U.S.A.)", Micropaleontology 36(4): 331-352 ,https://doi.org/10.2307/1485474 
Koppen (1975) ,"Koppen, J.D.",1975,A morphological and taxonomic consideration of Tabellaria (Bacillariophyceae) from the northcentral United States ,Journal of Phycology 11: 236-244 ,
Krammer (2000) ,"Krammer, K. ",2000,The genus Pinnularia,"Diatoms of Europe, Vol. 1",
Krammer (2001) ,"Krammer, K. ",2001,"Taxonomie und Morphologie von Brevisira arentii (Kolbe) Krammer gen. nov., comb. nov . ","Jahn, R., Kociolek, J.P., Witkowski, A & Compère, P. (eds). Lange-Bertalot-Festschrift: Studies on Diatoms. Dedicated to Prof. Dr. Dr. h.c. Horst Lange-Bertalot on the occasion of his 65th Birthday. A.R.G. Gantner Verlag. K.G. pp. 9-20",
Krammer (2003),"Krammer, K. ",2003,"Cymbopleura, Delicata, Navicymbula, Gomphocymbellopsis, Afrocymbella","Diatoms of Europe, Vol. 4",
Krammer and Lange-Bertalot (1986),"Krammer, K. and Lange-Bertalot, H. ",1986,Bacillariophyceae. 1. Teil: Naviculaceae ,"Süsswasserflora von Mitteleuropa, Band 2/1",
Krammer and Lange-Bertalot (1988),"Krammer, K. and Lange-Bertalot, H. ",1988,"Bacillariophyceae. 2. Teil: Bacillariaceae, Epithemiaceae, Surirellaceae ","Süsswasserflora von Mitteleuropa, Band 2/2",
