BASE_OBJECT_NAME,USER_NAME,LAST_USAGE,USAGE_COUNT
"""UNIPRO_POC.UNI_TRANSFORM.PO_FACT_XFRM""",ALYSSAKUNAU,2023-12-19T12:11:20.86-08:00,6
"""UNIPRO_SRC.S3.TMP_DATE_DIMENSION_8B7753""",UNIPRO,2023-12-19T16:06:15.107-08:00,1
"""UNIPRO_SRC.S3.TMP_DUNS_XREF_B1D340""",UNIPRO,2023-12-19T16:06:11.911-08:00,1
"""UNIPRO_POC.UNI_TRANSFORM.DIM_DUNS_XREF_XFRM""",ALYSSAKUNAU,2023-12-19T12:10:03.516-08:00,2
"""UNIPRO_POC.UNI_TRANSFORM.PO_FACT_XFRM""",ALYSSAKUNAU,2023-12-19T12:11:20.86-08:00,6
"""UNIPRO_SRC.S3.TMP_HEADQUARTERS_DIMENSION_86CB76""",UNIPRO,2023-12-19T16:07:05.597-08:00,1
"""UNIPRO_POC.UNI_TRANSFORM.DIM_GTIN_XFRM""",ALYSSAKUNAU,2023-12-19T12:10:53.786-08:00,2
"""UNIPRO_SRC.S3.TMP_GTIN_DIMENSION_3F04A0""",UNIPRO,2023-12-19T16:06:36.628-08:00,1
"""UNIPRO_SRC.S3.TMP_MEMBER_BRANCHES_DIMENSION_2E9DF8""",UNIPRO,2023-12-19T16:06:52.801-08:00,1
"""UNIPRO_SRC.S3.TMP_CAT_GROUP_DIMENSION_F72716""",UNIPRO,2023-12-19T16:05:47.604-08:00,1
"""UNIPRO_POC.UNI_TRANSFORM.DIM_DEPARTMENT_XFRM""",ALYSSAKUNAU,2023-12-19T12:10:52.001-08:00,2
"""UNIPRO_POC.UNI_TRANSFORM.DIM_DATE_XFRM""",ALYSSAKUNAU,2023-12-19T12:10:49.946-08:00,2
"""UNIPRO_POC.UNI_TRANSFORM.DIM_CAT_GROUP_XFRM""",ALYSSAKUNAU,2023-12-19T12:10:47.804-08:00,2
"""KUNAU_SANDBOX.TRAINING.STATIONS_FULL_DATASET""",ALYSSAKUNAU,2023-10-27T15:00:31.567-07:00,3
"""KUNAU_SANDBOX.TRAINING.STATIONS_FULL_DATASET""",ALYSSAKUNAU,2023-10-27T15:00:31.567-07:00,3
"""KUNAU_SANDBOX.TRAINING.STATIONS_FULL_DATASET""",ALYSSAKUNAU,2023-10-27T15:00:31.567-07:00,3
"""UNIPRO_SRC.S3.TMP_SUPPLIER_DIMENSION_5E5618""",UNIPRO,2023-12-19T16:06:06.828-08:00,1
"""UNIPRO_POC.UNI_TRANSFORM.DIM_SUPPLIER_XFRM""",ALYSSAKUNAU,2023-12-19T12:11:04.321-08:00,2
"""UNIPRO_SRC.S3.TMP_HISTORY_A4BEEA""",UNIPRO,2023-12-19T16:08:44.656-08:00,1
"""UNIPRO_SRC.S3.TMP_DEPARTMENT_DIMENSION_1E78D2""",UNIPRO,2023-12-19T16:06:36.454-08:00,1
"""UNIPRO_POC.UNI_TRANSFORM.DIM_MEMBER_BRANCHES_XFRM""",ALYSSAKUNAU,2023-12-19T12:11:02.539-08:00,2
"""UNIPRO_POC.UNI_TRANSFORM.DIM_HEADQUARTERS_XFRM""",ALYSSAKUNAU,2023-12-19T12:10:57.841-08:00,2
"""UNIPRO_SRC.S3.TMP_DUNS_XREF_67D537""",UNIPRO,2023-12-20T16:05:39.268-08:00,1
"""UNIPRO_SRC.S3.TMP_SUPPLIER_DIMENSION_005441""",UNIPRO,2023-12-20T16:05:02.398-08:00,1
"""UNIPRO_SRC.S3.TMP_HEADQUARTERS_DIMENSION_CFDDC7""",UNIPRO,2023-12-20T16:04:57.214-08:00,1
"""UNIPRO_SRC.S3.TMP_GTIN_DIMENSION_CC6A87""",UNIPRO,2023-12-20T16:06:01.761-08:00,1
"""UNIPRO_SRC.S3.TMP_DATE_DIMENSION_6AE523""",UNIPRO,2023-12-20T16:05:29.008-08:00,1
